route_color,route_id,route_stop_id,stop_name,vehicle_number,arrival_time,departure_time,actual_dwell_seconds
Gold,29,399,5th Street Bridge EB,2303,2026-09-21T16:28:44-04:00,2026-09-21T16:29:14-04:00,29.5
Clough,28,395,Fowler Street SB,2301,2026-09-21T16:26:22-04:00,2026-09-21T16:29:19-04:00,177.7
Green,17,195,Baker Building,2216,2026-09-21T16:29:14-04:00,2026-09-21T16:29:31-04:00,17.7
Clough,28,391,Academy of Medicine,2302,2026-09-21T16:29:02-04:00,2026-09-21T16:29:44-04:00,42.4
Green,17,211,GTRI Conference Center,2201,2026-09-21T16:28:44-04:00,2026-09-21T16:29:50-04:00,65.5
Gold,29,400,Technology Square EB,2303,2026-09-21T16:29:31-04:00,2026-09-21T16:30:01-04:00,29.4
Red,20,280,COP & North Ave.,2215,2026-09-21T16:29:37-04:00,2026-09-21T16:30:24-04:00,46.9
Northside Dr. - Atlantic Station,26,365,MARTA Stop (17th & Bishop),2209,2026-09-21T16:29:02-04:00,2026-09-21T16:30:37-04:00,95.5
Red,20,266,Techwood & 5th  - North,2210,2026-09-21T16:29:55-04:00,2026-09-21T16:30:47-04:00,51.7
Emory,18,214,Cherry Emerson,2304,2026-09-21T16:30:18-04:00,2026-09-21T16:31:04-04:00,46.0
Blue,21,289,North Avenue Apts - To East Campus,2206,2026-09-21T16:25:27-04:00,2026-09-21T16:31:10-04:00,343.6
Gold,29,396,MARTA Midtown Station,2308,2026-09-21T16:29:19-04:00,2026-09-21T16:31:10-04:00,110.7
Green,17,196,Kendeda Building,2216,2026-09-21T16:29:31-04:00,2026-09-21T16:31:16-04:00,104.3
Blue,21,306,Exhibition Hall,2214,2026-09-21T16:28:21-04:00,2026-09-21T16:31:28-04:00,187.6
Gold,29,409,Cherry Emerson,2306,2026-09-21T16:30:18-04:00,2026-09-21T16:31:28-04:00,70.3
Red,20,267,Russ Chandler Stadium,2210,2026-09-21T16:30:53-04:00,2026-09-21T16:31:47-04:00,54.3
Clough,28,385,MARTA Midtown Station,2309,2026-09-21T16:29:08-04:00,2026-09-21T16:31:47-04:00,158.9
Emory,18,225,Klaus Building EB,2304,2026-09-21T16:31:10-04:00,2026-09-21T16:32:13-04:00,62.4
Green,17,208,Center St. Apartments & Hemphill Ave,2216,2026-09-21T16:32:06-04:00,2026-09-21T16:32:43-04:00,37.4
Blue,21,302,COP & North Ave.,2204,2026-09-21T16:32:06-04:00,2026-09-21T16:32:49-04:00,43.7
Gold,29,401,College of Business,2303,2026-09-21T16:31:16-04:00,2026-09-21T16:32:49-04:00,93.7
Green,17,212,McCamish & 10th St.,2201,2026-09-21T16:31:58-04:00,2026-09-21T16:32:55-04:00,56.8
Red,20,273,West Village,2207,2026-09-21T16:28:21-04:00,2026-09-21T16:33:02-04:00,281.5
Blue,21,303,Ferst Dr & Cherry St,2206,2026-09-21T16:32:25-04:00,2026-09-21T16:33:08-04:00,43.0
Gold,29,410,Klaus Building EB,2306,2026-09-21T16:31:41-04:00,2026-09-21T16:33:08-04:00,87.5
Gold,29,404,Publix at the Plaza,2308,2026-09-21T16:31:41-04:00,2026-09-21T16:33:08-04:00,87.5
Gold,29,397,Technology Square WB,2307,2026-09-21T16:32:06-04:00,2026-09-21T16:33:08-04:00,62.5
Red,20,268,Klaus Building WB,2210,2026-09-21T16:31:53-04:00,2026-09-21T16:33:14-04:00,81.9
Gold,29,402,Academy of Medicine,2303,2026-09-21T16:33:02-04:00,2026-09-21T16:33:31-04:00,29.4
Green,17,418,Georgia Tech Police Department,2216,2026-09-21T16:32:18-04:00,2026-09-21T16:33:37-04:00,78.7
Gold,29,398,5th Street Bridge WB,2307,2026-09-21T16:33:20-04:00,2026-09-21T16:34:07-04:00,46.5
Gold,29,399,5th Street Bridge EB,2306,2026-09-21T16:34:00-04:00,2026-09-21T16:34:18-04:00,17.4
Red,20,271,8th St & Hemphill Ave,2207,2026-09-21T16:33:26-04:00,2026-09-21T16:34:30-04:00,64.6
Blue,21,299,Fitten Hall,2214,2026-09-21T16:32:43-04:00,2026-09-21T16:34:47-04:00,123.9
Red,20,269,Nanotechnology,2210,2026-09-21T16:33:31-04:00,2026-09-21T16:35:00-04:00,88.0
Blue,21,289,North Avenue Apts - To East Campus,2204,2026-09-21T16:33:08-04:00,2026-09-21T16:35:05-04:00,116.8
Green,17,213,Graduate Living Center,2201,2026-09-21T16:34:12-04:00,2026-09-21T16:35:11-04:00,58.9
Clough,28,393,Publix at the Plaza,2309,2026-09-21T16:31:58-04:00,2026-09-21T16:35:17-04:00,198.3
Green,17,206,Hemphill Ave & Curran St,2216,2026-09-21T16:34:53-04:00,2026-09-21T16:35:40-04:00,47.6
Emory,18,215,10th St & MARTA EB,2304,2026-09-21T16:34:53-04:00,2026-09-21T16:35:40-04:00,47.6
Gold,29,400,Technology Square EB,2306,2026-09-21T16:34:47-04:00,2026-09-21T16:35:40-04:00,53.1
Red,20,275,Ferst Dr & Hemphill Ave,2207,2026-09-21T16:34:36-04:00,2026-09-21T16:35:46-04:00,70.0
Clough,28,392,Clough Commons,2301,2026-09-21T16:30:31-04:00,2026-09-21T16:35:57-04:00,326.2
Red,20,270,Kendeda Building,2210,2026-09-21T16:35:00-04:00,2026-09-21T16:36:03-04:00,63.5
Gold,29,411,Russ Chandler Stadium,2307,2026-09-21T16:34:12-04:00,2026-09-21T16:36:03-04:00,111.0
Red,20,250,North Avenue Apts - To West Campus,2215,2026-09-21T16:30:24-04:00,2026-09-21T16:36:28-04:00,363.7
Green,17,195,Baker Building,2201,2026-09-21T16:36:03-04:00,2026-09-21T16:36:44-04:00,41.4
Gold,29,412,Klaus Building WB,2307,2026-09-21T16:36:03-04:00,2026-09-21T16:37:07-04:00,64.3
Gold,29,397,Technology Square WB,2308,2026-09-21T16:35:57-04:00,2026-09-21T16:37:26-04:00,88.7
Red,20,274,Center St. Apartments & Hemphill Ave,2210,2026-09-21T16:36:39-04:00,2026-09-21T16:37:32-04:00,53.1
Red,20,276,Cherry Emerson,2207,2026-09-21T16:36:28-04:00,2026-09-21T16:37:51-04:00,83.3
Green,17,209,GT Competition Center (575 14th Street),2216,2026-09-21T16:37:51-04:00,2026-09-21T16:38:05-04:00,14.2
Green,17,196,Kendeda Building,2201,2026-09-21T16:36:56-04:00,2026-09-21T16:38:11-04:00,75.2
Clough,28,386,Technology Square WB,2309,2026-09-21T16:36:39-04:00,2026-09-21T16:38:11-04:00,91.9
Gold,29,398,5th Street Bridge WB,2308,2026-09-21T16:37:32-04:00,2026-09-21T16:38:11-04:00,38.8
Clough,28,385,MARTA Midtown Station,2302,2026-09-21T16:33:20-04:00,2026-09-21T16:38:16-04:00,296.3
Gold,29,413,Nanotechnology,2307,2026-09-21T16:37:26-04:00,2026-09-21T16:38:22-04:00,55.8
Red,20,264,Brown Residence Hall,2215,2026-09-21T16:37:51-04:00,2026-09-21T16:38:28-04:00,36.7
Northside Dr. - Atlantic Station,26,360,MARTA Stop Northside Dr. @ 10th St.,2209,2026-09-21T16:36:33-04:00,2026-09-21T16:38:47-04:00,133.2
Clough,28,394,Fowler Street NB,2301,2026-09-21T16:36:56-04:00,2026-09-21T16:38:47-04:00,111.0
Gold,29,401,College of Business,2306,2026-09-21T16:37:14-04:00,2026-09-21T16:38:52-04:00,97.9
Blue,21,303,Ferst Dr & Cherry St,2204,2026-09-21T16:38:11-04:00,2026-09-21T16:39:04-04:00,52.8
Red,20,277,Klaus Building EB,2207,2026-09-21T16:38:05-04:00,2026-09-21T16:39:26-04:00,81.2
Gold,29,402,Academy of Medicine,2306,2026-09-21T16:39:04-04:00,2026-09-21T16:39:26-04:00,22.7
Green,17,208,Center St. Apartments & Hemphill Ave,2201,2026-09-21T16:38:22-04:00,2026-09-21T16:39:38-04:00,76.3
Clough,28,388,5th Street Bridge EB,2301,2026-09-21T16:38:52-04:00,2026-09-21T16:39:38-04:00,46.1
Red,20,265,Techwood Dr & Field Residence Hall,2215,2026-09-21T16:38:40-04:00,2026-09-21T16:39:44-04:00,63.6
Gold,29,415,Kendeda Building,2307,2026-09-21T16:38:22-04:00,2026-09-21T16:39:44-04:00,81.8
Gold,29,396,MARTA Midtown Station,2303,2026-09-21T16:35:46-04:00,2026-09-21T16:39:55-04:00,249.2
Gold,29,411,Russ Chandler Stadium,2308,2026-09-21T16:38:16-04:00,2026-09-21T16:39:55-04:00,98.8
Clough,28,387,5th Street Bridge WB,2309,2026-09-21T16:39:21-04:00,2026-09-21T16:40:13-04:00,52.3
Green,17,418,Georgia Tech Police Department,2201,2026-09-21T16:39:04-04:00,2026-09-21T16:40:40-04:00,96.4
Green,17,210,14th St & State St,2216,2026-09-21T16:39:38-04:00,2026-09-21T16:40:46-04:00,67.6
Blue,21,463,Ferst Dr. and Weber Building,2204,2026-09-21T16:38:58-04:00,2026-09-21T16:40:53-04:00,115.0
Clough,28,393,Publix at the Plaza,2302,2026-09-21T16:38:47-04:00,2026-09-21T16:41:17-04:00,150.0
Red,20,266,Techwood & 5th  - North,2215,2026-09-21T16:40:13-04:00,2026-09-21T16:41:24-04:00,71.3
Gold,29,412,Klaus Building WB,2308,2026-09-21T16:40:01-04:00,2026-09-21T16:41:24-04:00,83.0
Clough,28,395,Fowler Street SB,2309,2026-09-21T16:40:27-04:00,2026-09-21T16:41:30-04:00,62.8
Red,20,272,Paper Tricentennial,2210,2026-09-21T16:37:38-04:00,2026-09-21T16:41:36-04:00,237.3
Green,17,206,Hemphill Ave & Curran St,2201,2026-09-21T16:41:00-04:00,2026-09-21T16:41:43-04:00,43.6
Green,17,211,GTRI Conference Center,2216,2026-09-21T16:40:40-04:00,2026-09-21T16:41:43-04:00,63.3
Emory,18,216,Piedmont Road EB,2304,2026-09-21T16:41:36-04:00,2026-09-21T16:41:55-04:00,18.9
Clough,28,389,Technology Square EB,2301,2026-09-21T16:40:13-04:00,2026-09-21T16:42:02-04:00,108.4
Red,20,278,Techwood Dr & 5th St - South,2207,2026-09-21T16:40:46-04:00,2026-09-21T16:42:08-04:00,81.8
Blue,21,305,Student Center,2204,2026-09-21T16:41:11-04:00,2026-09-21T16:42:08-04:00,56.5
Red,20,267,Russ Chandler Stadium,2215,2026-09-21T16:41:36-04:00,2026-09-21T16:42:37-04:00,61.1
Gold,29,416,Couch Park,2307,2026-09-21T16:39:55-04:00,2026-09-21T16:42:49-04:00,174.2
Green,17,209,GT Competition Center (575 14th Street),2201,2026-09-21T16:42:49-04:00,2026-09-21T16:43:06-04:00,16.9
Gold,29,404,Publix at the Plaza,2303,2026-09-21T16:40:40-04:00,2026-09-21T16:43:06-04:00,146.2
Gold,29,413,Nanotechnology,2308,2026-09-21T16:41:43-04:00,2026-09-21T16:43:06-04:00,82.9
Red,20,279,Techwood Dr & Bobby Dodd Way,2207,2026-09-21T16:42:19-04:00,2026-09-21T16:43:23-04:00,64.2
Clough,28,386,Technology Square WB,2302,2026-09-21T16:42:43-04:00,2026-09-21T16:43:51-04:00,68.0
Blue,21,282,West Village,2214,2026-09-21T16:36:22-04:00,2026-09-21T16:43:57-04:00,455.5
Blue,21,463,Ferst Dr. and Weber Building,2206,2026-09-21T16:33:08-04:00,2026-09-21T16:43:57-04:00,648.9
Red,20,268,Klaus Building WB,2215,2026-09-21T16:42:43-04:00,2026-09-21T16:44:03-04:00,80.0
Gold,29,415,Kendeda Building,2308,2026-09-21T16:43:06-04:00,2026-09-21T16:44:03-04:00,57.2
Blue,21,305,Student Center,2206,2026-09-21T16:44:03-04:00,2026-09-21T16:44:27-04:00,23.4
Blue,21,306,Exhibition Hall,2204,2026-09-21T16:43:01-04:00,2026-09-21T16:44:39-04:00,98.0
Clough,28,390,College of Business,2301,2026-09-21T16:43:12-04:00,2026-09-21T16:44:50-04:00,98.6
Clough,28,387,5th Street Bridge WB,2302,2026-09-21T16:44:03-04:00,2026-09-21T16:44:50-04:00,46.9
Green,17,212,McCamish & 10th St.,2216,2026-09-21T16:44:03-04:00,2026-09-21T16:44:56-04:00,52.5
Gold,29,396,MARTA Midtown Station,2306,2026-09-21T16:41:55-04:00,2026-09-21T16:45:01-04:00,186.8
Northside Dr. - Atlantic Station,26,358,Exhibition Hall,2209,2026-09-21T16:40:27-04:00,2026-09-21T16:45:19-04:00,292.0
Gold,29,397,Technology Square WB,2303,2026-09-21T16:44:15-04:00,2026-09-21T16:45:19-04:00,64.5
Green,17,213,Graduate Living Center,2216,2026-09-21T16:45:19-04:00,2026-09-21T16:45:32-04:00,12.3
Blue,21,283,8th St & Hemphill Ave,2214,2026-09-21T16:44:15-04:00,2026-09-21T16:45:32-04:00,76.8
Red,20,269,Nanotechnology,2215,2026-09-21T16:44:21-04:00,2026-09-21T16:45:44-04:00,83.7
Clough,28,391,Academy of Medicine,2301,2026-09-21T16:45:01-04:00,2026-09-21T16:45:44-04:00,42.8
Gold,29,417,CRC & Stamps Health,2307,2026-09-21T16:43:29-04:00,2026-09-21T16:45:56-04:00,147.4
Red,20,280,COP & North Ave.,2207,2026-09-21T16:45:32-04:00,2026-09-21T16:46:03-04:00,31.3
Gold,29,398,5th Street Bridge WB,2303,2026-09-21T16:45:25-04:00,2026-09-21T16:46:09-04:00,44.3
Clough,28,395,Fowler Street SB,2302,2026-09-21T16:45:01-04:00,2026-09-21T16:46:44-04:00,102.2
Red,20,270,Kendeda Building,2215,2026-09-21T16:45:44-04:00,2026-09-21T16:47:03-04:00,78.4
Red,20,273,West Village,2210,2026-09-21T16:42:43-04:00,2026-09-21T16:47:03-04:00,259.3
Blue,21,302,COP & North Ave.,2206,2026-09-21T16:46:21-04:00,2026-09-21T16:47:09-04:00,47.7
Gold,29,404,Publix at the Plaza,2306,2026-09-21T16:45:50-04:00,2026-09-21T16:47:09-04:00,78.8
Gold,29,416,Couch Park,2308,2026-09-21T16:45:19-04:00,2026-09-21T16:47:21-04:00,121.5
Gold,29,421,Ferst Drive & Student Center,2307,2026-09-21T16:46:38-04:00,2026-09-21T16:47:21-04:00,42.8
Blue,21,299,Fitten Hall,2204,2026-09-21T16:46:27-04:00,2026-09-21T16:47:27-04:00,60.4
Green,17,195,Baker Building,2216,2026-09-21T16:46:15-04:00,2026-09-21T16:47:39-04:00,83.2
Clough,28,392,Clough Commons,2309,2026-09-21T16:42:49-04:00,2026-09-21T16:47:39-04:00,289.1
Gold,29,411,Russ Chandler Stadium,2303,2026-09-21T16:46:21-04:00,2026-09-21T16:47:39-04:00,77.4
Blue,21,284,Couch Park,2214,2026-09-21T16:45:50-04:00,2026-09-21T16:47:58-04:00,128.5
Green,17,209,GT Competition Center (575 14th Street),2201,2026-09-21T16:43:29-04:00,2026-09-21T16:48:21-04:00,292.0
Red,20,250,North Avenue Apts - To West Campus,2207,2026-09-21T16:46:09-04:00,2026-09-21T16:48:21-04:00,131.8
Red,20,271,8th St & Hemphill Ave,2210,2026-09-21T16:47:21-04:00,2026-09-21T16:48:33-04:00,72.1
Gold,29,412,Klaus Building WB,2303,2026-09-21T16:47:39-04:00,2026-09-21T16:48:45-04:00,66.5
Northside Dr. - Atlantic Station,26,359,Center St. Apartments & Hemphill Ave,2209,2026-09-21T16:47:44-04:00,2026-09-21T16:49:15-04:00,90.9
Green,17,196,Kendeda Building,2216,2026-09-21T16:47:39-04:00,2026-09-21T16:49:21-04:00,102.5
Gold,29,419,Weber Loop,2307,2026-09-21T16:47:39-04:00,2026-09-21T16:49:21-04:00,102.5
Green,17,210,14th St & State St,2201,2026-09-21T16:48:57-04:00,2026-09-21T16:49:27-04:00,30.3
Clough,28,394,Fowler Street NB,2309,2026-09-21T16:48:39-04:00,2026-09-21T16:49:27-04:00,47.9
Gold,29,417,CRC & Stamps Health,2308,2026-09-21T16:48:21-04:00,2026-09-21T16:49:27-04:00,65.8
Red,20,274,Center St. Apartments & Hemphill Ave,2215,2026-09-21T16:48:33-04:00,2026-09-21T16:49:33-04:00,59.5
Clough,28,385,MARTA Midtown Station,2301,2026-09-21T16:47:27-04:00,2026-09-21T16:49:33-04:00,125.3
Blue,21,282,West Village,2204,2026-09-21T16:48:45-04:00,2026-09-21T16:49:50-04:00,65.3
Northside Dr. - Atlantic Station,26,487,Georgia Tech Police Department,2209,2026-09-21T16:49:15-04:00,2026-09-21T16:50:02-04:00,46.6
Clough,28,388,5th Street Bridge EB,2309,2026-09-21T16:49:39-04:00,2026-09-21T16:50:02-04:00,23.1
Green,17,211,GTRI Conference Center,2201,2026-09-21T16:49:21-04:00,2026-09-21T16:50:14-04:00,52.5
Red,20,264,Brown Residence Hall,2207,2026-09-21T16:49:50-04:00,2026-09-21T16:50:26-04:00,36.1
Red,20,275,Ferst Dr & Hemphill Ave,2210,2026-09-21T16:48:39-04:00,2026-09-21T16:50:26-04:00,107.5
Gold,29,421,Ferst Drive & Student Center,2308,2026-09-21T16:50:02-04:00,2026-09-21T16:50:26-04:00,24.7
Gold,29,413,Nanotechnology,2303,2026-09-21T16:49:21-04:00,2026-09-21T16:50:44-04:00,82.9
Gold,29,420,Student Center,2307,2026-09-21T16:49:50-04:00,2026-09-21T16:50:51-04:00,60.8
Red,20,272,Paper Tricentennial,2215,2026-09-21T16:49:50-04:00,2026-09-21T16:51:10-04:00,80.2
Blue,21,283,8th St & Hemphill Ave,2204,2026-09-21T16:50:08-04:00,2026-09-21T16:51:10-04:00,63.0
Blue,21,285,CRC & Stamps Health,2214,2026-09-21T16:49:08-04:00,2026-09-21T16:51:10-04:00,122.6
Gold,29,415,Kendeda Building,2303,2026-09-21T16:50:44-04:00,2026-09-21T16:51:10-04:00,26.5
Gold,29,397,Technology Square WB,2306,2026-09-21T16:50:02-04:00,2026-09-21T16:51:22-04:00,80.0
Red,20,265,Techwood Dr & Field Residence Hall,2207,2026-09-21T16:50:38-04:00,2026-09-21T16:51:39-04:00,60.9
Emory,18,217,Clifton Road at Wesley EB,2304,2026-09-21T16:51:22-04:00,2026-09-21T16:52:05-04:00,43.2
Gold,29,407,Exhibition Hall,2307,2026-09-21T16:51:22-04:00,2026-09-21T16:52:05-04:00,43.2
Blue,21,300,Ferst Drive & Student Center,2214,2026-09-21T16:51:45-04:00,2026-09-21T16:52:28-04:00,43.2
Gold,29,398,5th Street Bridge WB,2306,2026-09-21T16:51:27-04:00,2026-09-21T16:52:28-04:00,61.2
Red,20,276,Cherry Emerson,2210,2026-09-21T16:51:10-04:00,2026-09-21T16:52:40-04:00,89.5
Northside Dr. - Atlantic Station,26,362,MARTA Stop 10th St. @ Northside Dr.,2209,2026-09-21T16:50:57-04:00,2026-09-21T16:52:40-04:00,102.9
Blue,21,289,North Avenue Apts - To East Campus,2206,2026-09-21T16:47:14-04:00,2026-09-21T16:52:47-04:00,332.3
Green,17,212,McCamish & 10th St.,2201,2026-09-21T16:51:58-04:00,2026-09-21T16:53:04-04:00,65.8
Clough,28,389,Technology Square EB,2309,2026-09-21T16:50:51-04:00,2026-09-21T16:53:04-04:00,132.5
Clough,28,393,Publix at the Plaza,2301,2026-09-21T16:49:50-04:00,2026-09-21T16:53:10-04:00,199.3
Gold,29,411,Russ Chandler Stadium,2306,2026-09-21T16:52:35-04:00,2026-09-21T16:53:15-04:00,40.6
Red,20,266,Techwood & 5th  - North,2207,2026-09-21T16:52:11-04:00,2026-09-21T16:53:21-04:00,70.1
Clough,28,392,Clough Commons,2302,2026-09-21T16:47:52-04:00,2026-09-21T16:54:03-04:00,371.1
Green,17,208,Center St. Apartments & Hemphill Ave,2216,2026-09-21T16:50:20-04:00,2026-09-21T16:54:14-04:00,233.9
Red,20,267,Russ Chandler Stadium,2207,2026-09-21T16:53:26-04:00,2026-09-21T16:54:20-04:00,53.8
Blue,21,284,Couch Park,2204,2026-09-21T16:51:16-04:00,2026-09-21T16:54:20-04:00,184.0
Gold,29,412,Klaus Building WB,2306,2026-09-21T16:53:15-04:00,2026-09-21T16:54:20-04:00,65.0
Red,20,277,Klaus Building EB,2210,2026-09-21T16:52:58-04:00,2026-09-21T16:54:32-04:00,94.2
Green,17,209,GT Competition Center (575 14th Street),2216,2026-09-21T16:54:44-04:00,2026-09-21T16:55:02-04:00,18.0
Green,17,213,Graduate Living Center,2201,2026-09-21T16:54:14-04:00,2026-09-21T16:55:02-04:00,48.0
Clough,28,390,College of Business,2309,2026-09-21T16:53:15-04:00,2026-09-21T16:55:02-04:00,107.1
Blue,21,303,Ferst Dr & Cherry St,2206,2026-09-21T16:54:14-04:00,2026-09-21T16:55:08-04:00,53.6
Gold,29,413,Nanotechnology,2306,2026-09-21T16:54:38-04:00,2026-09-21T16:55:36-04:00,57.7
Red,20,268,Klaus Building WB,2207,2026-09-21T16:54:26-04:00,2026-09-21T16:55:42-04:00,75.9
Gold,29,416,Couch Park,2303,2026-09-21T16:51:39-04:00,2026-09-21T16:55:48-04:00,248.6
Clough,28,391,Academy of Medicine,2309,2026-09-21T16:55:08-04:00,2026-09-21T16:55:54-04:00,46.1
Gold,29,408,Ferst Dr & Hemphill Ave,2307,2026-09-21T16:54:38-04:00,2026-09-21T16:55:54-04:00,75.6
Northside Dr. - Atlantic Station,26,361,16th & Village St.,2209,2026-09-21T16:55:02-04:00,2026-09-21T16:56:01-04:00,59.2
Blue,21,463,Ferst Dr. and Weber Building,2206,2026-09-21T16:55:08-04:00,2026-09-21T16:56:19-04:00,71.5
Gold,29,415,Kendeda Building,2306,2026-09-21T16:55:36-04:00,2026-09-21T16:56:19-04:00,43.2
Green,17,195,Baker Building,2201,2026-09-21T16:55:25-04:00,2026-09-21T16:56:39-04:00,74.2
Green,17,209,GT Competition Center (575 14th Street),2216,2026-09-21T16:55:42-04:00,2026-09-21T16:56:39-04:00,57.2
Red,20,278,Techwood Dr & 5th St - South,2210,2026-09-21T16:55:25-04:00,2026-09-21T16:56:45-04:00,80.0
Red,20,269,Nanotechnology,2207,2026-09-21T16:55:54-04:00,2026-09-21T16:57:20-04:00,86.0
Blue,21,285,CRC & Stamps Health,2204,2026-09-21T16:56:01-04:00,2026-09-21T16:57:20-04:00,78.4
Red,20,273,West Village,2215,2026-09-21T16:52:17-04:00,2026-09-21T16:57:26-04:00,308.7
Blue,21,301,Weber Building Loop,2214,2026-09-21T16:52:52-04:00,2026-09-21T16:57:31-04:00,278.9
Blue,21,305,Student Center,2206,2026-09-21T16:56:51-04:00,2026-09-21T16:57:43-04:00,51.6
Clough,28,394,Fowler Street NB,2302,2026-09-21T16:56:45-04:00,2026-09-21T16:57:43-04:00,57.7
Gold,29,417,CRC & Stamps Health,2303,2026-09-21T16:56:26-04:00,2026-09-21T16:57:54-04:00,88.2
Red,20,279,Techwood Dr & Bobby Dodd Way,2210,2026-09-21T16:56:57-04:00,2026-09-21T16:58:08-04:00,70.4
Clough,28,386,Technology Square WB,2301,2026-09-21T16:56:45-04:00,2026-09-21T16:58:08-04:00,82.5
Northside Dr. - Atlantic Station,26,363,MARTA Stop (17th & State),2209,2026-09-21T16:56:57-04:00,2026-09-21T16:58:19-04:00,81.7
Red,20,270,Kendeda Building,2207,2026-09-21T16:57:20-04:00,2026-09-21T16:58:36-04:00,76.5
Red,20,271,8th St & Hemphill Ave,2215,2026-09-21T16:57:48-04:00,2026-09-21T16:58:36-04:00,48.3
Green,17,210,14th St & State St,2216,2026-09-21T16:57:14-04:00,2026-09-21T16:58:43-04:00,88.4
Blue,21,300,Ferst Drive & Student Center,2204,2026-09-21T16:58:01-04:00,2026-09-21T16:58:43-04:00,41.2
Gold,29,409,Cherry Emerson,2307,2026-09-21T16:56:51-04:00,2026-09-21T16:58:50-04:00,118.7
Green,17,196,Kendeda Building,2201,2026-09-21T16:56:45-04:00,2026-09-21T16:58:55-04:00,130.4
Gold,29,421,Ferst Drive & Student Center,2303,2026-09-21T16:58:30-04:00,2026-09-21T16:59:20-04:00,49.5
Blue,21,306,Exhibition Hall,2206,2026-09-21T16:58:13-04:00,2026-09-21T16:59:33-04:00,79.8
Clough,28,388,5th Street Bridge EB,2302,2026-09-21T16:58:55-04:00,2026-09-21T16:59:39-04:00,43.5
Green,17,211,GTRI Conference Center,2216,2026-09-21T16:58:36-04:00,2026-09-21T16:59:51-04:00,74.6
Gold,29,419,Weber Loop,2308,2026-09-21T16:51:03-04:00,2026-09-21T17:00:19-04:00,555.7
Gold,29,410,Klaus Building EB,2307,2026-09-21T16:58:55-04:00,2026-09-21T17:00:19-04:00,83.3
Blue,21,301,Weber Building Loop,2204,2026-09-21T16:59:08-04:00,2026-09-21T17:00:24-04:00,76.2
Red,20,275,Ferst Dr & Hemphill Ave,2215,2026-09-21T16:58:43-04:00,2026-09-21T17:00:36-04:00,113.4
Red,20,280,COP & North Ave.,2210,2026-09-21T16:59:39-04:00,2026-09-21T17:00:36-04:00,57.1
Clough,28,387,5th Street Bridge WB,2301,2026-09-21T16:59:20-04:00,2026-09-21T17:00:36-04:00,76.2
Gold,29,416,Couch Park,2306,2026-09-21T16:57:26-04:00,2026-09-21T17:00:50-04:00,204.4
Northside Dr. - Atlantic Station,26,364,MARTA Stop (17th & Village),2209,2026-09-21T16:59:45-04:00,2026-09-21T17:01:30-04:00,105.5
Gold,29,420,Student Center,2308,2026-09-21T17:00:50-04:00,2026-09-21T17:01:42-04:00,52.1
Blue,21,299,Fitten Hall,2206,2026-09-21T17:00:50-04:00,2026-09-21T17:01:48-04:00,58.0
Clough,28,385,MARTA Midtown Station,2309,2026-09-21T16:58:55-04:00,2026-09-21T17:02:06-04:00,190.1
Northside Dr. - Atlantic Station,26,365,MARTA Stop (17th & Bishop),2209,2026-09-21T17:01:36-04:00,2026-09-21T17:02:18-04:00,41.3
Clough,28,389,Technology Square EB,2302,2026-09-21T17:00:24-04:00,2026-09-21T17:02:25-04:00,120.4
Green,17,208,Center St. Apartments & Hemphill Ave,2201,2026-09-21T17:01:42-04:00,2026-09-21T17:02:31-04:00,48.6
Gold,29,399,5th Street Bridge EB,2307,2026-09-21T17:00:36-04:00,2026-09-21T17:02:42-04:00,126.4
Green,17,212,McCamish & 10th St.,2216,2026-09-21T17:01:59-04:00,2026-09-21T17:02:51-04:00,51.4
Green,17,213,Graduate Living Center,2216,2026-09-21T17:02:56-04:00,2026-09-21T17:03:10-04:00,13.6
Red,20,276,Cherry Emerson,2215,2026-09-21T17:01:36-04:00,2026-09-21T17:03:10-04:00,93.7
Gold,29,407,Exhibition Hall,2308,2026-09-21T17:02:12-04:00,2026-09-21T17:03:10-04:00,58.1
Gold,29,417,CRC & Stamps Health,2306,2026-09-21T17:01:25-04:00,2026-09-21T17:03:28-04:00,123.5
Red,20,250,North Avenue Apts - To West Campus,2210,2026-09-21T17:00:36-04:00,2026-09-21T17:03:41-04:00,185.1
Clough,28,395,Fowler Street SB,2301,2026-09-21T17:00:50-04:00,2026-09-21T17:04:06-04:00,196.2
Red,20,277,Klaus Building EB,2215,2026-09-21T17:03:22-04:00,2026-09-21T17:04:30-04:00,68.2
Green,17,418,Georgia Tech Police Department,2201,2026-09-21T17:02:12-04:00,2026-09-21T17:04:36-04:00,144.5
Gold,29,400,Technology Square EB,2307,2026-09-21T17:02:56-04:00,2026-09-21T17:04:42-04:00,105.8
Gold,29,421,Ferst Drive & Student Center,2306,2026-09-21T17:03:59-04:00,2026-09-21T17:04:48-04:00,49.2
Clough,28,390,College of Business,2302,2026-09-21T17:03:16-04:00,2026-09-21T17:04:54-04:00,98.3
Gold,29,419,Weber Loop,2303,2026-09-21T16:59:51-04:00,2026-09-21T17:04:54-04:00,303.4
Green,17,195,Baker Building,2216,2026-09-21T17:04:06-04:00,2026-09-21T17:05:00-04:00,53.9
Blue,21,302,COP & North Ave.,2214,2026-09-21T17:02:18-04:00,2026-09-21T17:05:07-04:00,169.5
Gold,29,408,Ferst Dr & Hemphill Ave,2308,2026-09-21T17:04:12-04:00,2026-09-21T17:05:13-04:00,60.8
